team,season,season_start_year,season_end_year,rank,player,player_id,age,pos,gp,goals,assists,points,plus_minus,pim,ev_goals,pp_goals,sh_goals,gw_goals,ev_assists,pp_assists,sh_assists,shots_on_goal,shooting_pct,shot_attempts,toi,atoi,toi_minutes,atoi_minutes,faceoffs_won,faceoffs_lost,faceoff_pct,blocks,hits,takeaways,giveaways,awards
Vancouver Canucks,2021-22,2021,2022,6,Brock Boeser,boesebr01,24,RW,71,23,23,46,-5.0,20,12,11,0,6,16,6,1,195,11.8,391,1320:32,18:36,1320.5333333333333,18.6,27,26,50.9,26,35,33,21,
Vancouver Canucks,2021-22,2021,2022,7,Tanner Pearson,pearsta01,29,LW,68,14,20,34,9.0,30,13,1,0,2,18,2,0,159,8.8,242,1091:44,16:03,1091.7333333333333,16.05,20,37,35.1,41,84,22,15,
Vancouver Canucks,2021-22,2021,2022,8,Oliver Ekman-Larsson,ekmanol01,30,D,79,5,24,29,5.0,52,2,3,0,1,17,7,0,168,3.0,352,1763:21,22:19,1763.35,22.316666666666666,0,0,,79,105,26,42,
Vancouver Canucks,2021-22,2021,2022,9,Vasily Podkolzin,podkova01,20,RW,79,14,12,26,7.0,26,12,2,0,3,11,1,0,115,12.2,191,1010:35,12:48,1010.5833333333334,12.8,8,11,42.1,33,84,32,18,
Vancouver Canucks,2021-22,2021,2022,10,Alex Chiasson,chiasal01,31,RW,67,13,9,22,4.0,24,7,6,0,2,5,4,0,98,13.3,140,778:41,11:37,778.6833333333333,11.616666666666667,10,13,43.5,18,68,7,10,
Vancouver Canucks,2021-22,2021,2022,11,Tyler Myers,myersty01,31,D,82,1,17,18,15.0,66,1,0,0,0,16,1,0,128,0.8,257,1802:13,21:59,1802.2166666666667,21.983333333333334,0,0,,148,145,32,56,
Vancouver Canucks,2021-22,2021,2022,12,Nils Höglander,hoglani01,21,LW,60,10,8,18,-6.0,24,9,1,0,0,6,2,0,132,7.6,190,785:20,13:05,785.3333333333334,13.083333333333334,0,1,0.0,16,41,25,25,
Vancouver Canucks,2021-22,2021,2022,13,Luke Schenn,schenlu01,32,D,66,5,12,17,15.0,61,4,0,1,1,12,0,0,78,6.4,163,1135:51,17:13,1135.85,17.216666666666665,0,0,,96,273,7,42,
Vancouver Canucks,2021-22,2021,2022,14,Brad Hunt,huntbr01,33,D,50,3,14,17,-3.0,12,3,0,0,0,12,2,0,67,4.5,127,762:39,15:15,762.65,15.25,0,0,,48,22,11,19,
Vancouver Canucks,2021-22,2021,2022,15,Tyler Motte,mottety01,26,C,49,7,8,15,3.0,22,6,0,1,1,8,0,0,83,8.4,146,699:41,14:17,699.6833333333333,14.283333333333333,6,6,50.0,51,90,27,17,
Vancouver Canucks,2021-22,2021,2022,16,Juho Lammikko,lammiju01,26,RW,75,7,8,15,-6.0,14,7,0,0,2,8,0,0,67,10.4,118,920:53,12:17,920.8833333333333,12.283333333333333,354,340,51.0,46,93,17,9,
Vancouver Canucks,2021-22,2021,2022,17,Matthew Highmore,highmma01,25,LW,46,5,7,12,1.0,14,4,1,0,0,7,0,0,61,8.2,95,583:58,12:42,583.9666666666667,12.7,3,5,37.5,38,41,16,6,
Vancouver Canucks,2021-22,2021,2022,18,Jason Dickinson,dickija01,26,C,62,5,6,11,-1.0,19,5,0,0,0,6,0,0,66,7.6,125,808:36,13:03,808.6,13.05,123,166,42.6,43,101,20,9,
Vancouver Canucks,2021-22,2021,2022,19,Travis Hamonic,hamontr01,31,D,24,3,4,7,1.0,6,3,0,0,0,4,0,0,51,5.9,101,440:56,18:22,440.93333333333334,18.366666666666667,0,0,,55,30,2,13,
Vancouver Canucks,2021-22,2021,2022,20,Kyle Burroughs,burroky01,26,D,42,1,4,5,-3.0,39,1,0,0,0,4,0,0,39,2.6,83,543:20,12:56,543.3333333333334,12.933333333333334,0,0,,59,122,7,7,
Vancouver Canucks,2021-22,2021,2022,21,Justin Dowling,dowliju01,31,C,22,2,2,4,-3.0,2,2,0,0,0,2,0,0,17,11.8,28,210:54,9:35,210.9,9.583333333333334,21,19,52.5,9,10,4,1,
Vancouver Canucks,2021-22,2021,2022,22,Brad Richardson,richabr02,36,C,17,2,2,4,1.0,8,2,0,0,1,2,0,0,12,16.7,33,185:03,10:53,185.05,10.883333333333333,59,44,57.3,11,19,4,6,
Vancouver Canucks,2021-22,2021,2022,23,Tucker Poolman,poolmtu01,28,D,40,1,2,3,2.0,12,1,0,0,0,2,0,0,47,2.1,104,680:03,17:00,680.05,17.0,0,0,,73,33,7,15,
Vancouver Canucks,2021-22,2021,2022,24,Sheldon Dries,driessh01,27,C,11,2,1,3,-3.0,0,1,1,0,1,1,0,0,17,11.8,28,113:18,10:18,113.3,10.3,7,14,33.3,6,9,2,1,
Vancouver Canucks,2021-22,2021,2022,25,Nic Petan,petanni01,26,C,18,0,2,2,-2.0,4,0,0,0,0,1,1,0,21,0.0,41,185:10,10:17,185.16666666666666,10.283333333333333,14,32,30.4,3,6,7,6,
Vancouver Canucks,2021-22,2021,2022,26,Noah Juulsen,juulsno01,24,D,8,0,2,2,-4.0,0,0,0,0,0,2,0,0,6,0.0,11,117:24,14:41,117.4,14.683333333333334,0,0,,11,20,1,5,
Vancouver Canucks,2021-22,2021,2022,27,Thatcher Demko,demkoth01,26,G,64,0,2,2,0.0,2,0,0,0,0,2,0,0,0,,0,3700:39,57:49,3700.65,57.81666666666667,0,0,,0,0,3,36,ASGASnhl-8Vezina-7
Vancouver Canucks,2021-22,2021,2022,28,Travis Dermott,dermotr01,25,D,17,1,1,2,5.0,0,1,0,0,0,1,0,0,9,11.1,26,287:12,16:54,287.2,16.9,0,0,,18,12,1,4,
Vancouver Canucks,2021-22,2021,2022,29,Madison Bowey,boweyma01,26,D,2,0,0,0,-3.0,0,0,0,0,0,0,0,0,0,,3,31:28,15:44,31.466666666666665,15.733333333333333,0,0,,2,4,0,0,
Vancouver Canucks,2021-22,2021,2022,30,Spencer Martin,martisp01,26,G,6,0,0,0,0.0,0,0,0,0,0,0,0,0,0,,0,378:21,63:04,378.35,63.06666666666667,0,0,,0,0,0,2,
Vancouver Canucks,2021-22,2021,2022,31,William Lockwood,lockwwi01,23,RW,13,0,0,0,-3.0,9,0,0,0,0,0,0,0,13,0.0,24,147:25,11:20,147.41666666666666,11.333333333333334,0,0,,9,49,1,2,
Vancouver Canucks,2021-22,2021,2022,32,Justin Bailey,baileju01,26,RW,14,0,0,0,-5.0,6,0,0,0,0,0,0,0,16,0.0,25,127:06,9:05,127.1,9.083333333333334,0,1,0.0,6,12,7,4,
Vancouver Canucks,2021-22,2021,2022,33,Guillaume Brisebois,brisegu01,24,D,1,0,0,0,-1.0,0,0,0,0,0,0,0,0,0,,0,4:13,4:13,4.216666666666667,4.216666666666667,0,0,,1,0,0,0,
Vancouver Canucks,2021-22,2021,2022,34,Jaroslav Halák,halakja01,36,G,17,0,0,0,0.0,2,0,0,0,0,0,0,0,0,,0,796:39,46:52,796.65,46.86666666666667,0,0,,0,0,0,7,
Vancouver Canucks,2021-22,2021,2022,35,Jack Rathbone,rathbja01,22,D,9,0,0,0,-5.0,2,0,0,0,0,0,0,0,10,0.0,22,124:28,13:50,124.46666666666667,13.833333333333334,0,0,,8,5,2,4,
Vancouver Canucks,2021-22,2021,2022,36,Sheldon Rempal,rempash01,26,RW,1,0,0,0,-1.0,0,0,0,0,0,0,0,0,2,0.0,2,9:11,9:11,9.183333333333334,9.183333333333334,0,0,,0,0,0,0,
Vancouver Canucks,2021-22,2021,2022,37,Michael DiPietro,dipiemi01,22,G,1,0,0,0,,0,0,0,0,0,0,0,0,0,,0,57:21,57:21,57.35,57.35,0,0,,0,0,0,0,
